tweet_id;author_username;tweet_text;author_location;created_at;found_at;source_status;deepseek_score;deepseek_reason;parent_tweet_id
2074266485392851192;DocAsh_8404;@Rusia_HD Yes, 100%;;2026-07-06T22:57:22.000Z;2026-07-09T14:01:39.802431+00:00;queued;;;2074139935297138972
2074266530448081001;masterosine5;@Rusia_HD @moniqueall76789 Oui absolument ...;03;2026-07-06T22:57:33.000Z;2026-07-09T14:01:39.802431+00:00;queued;;;2074139935297138972
2074266620822802490;Errk21;@Rusia_HD Yes Yes;;2026-07-06T22:57:55.000Z;2026-07-09T14:01:39.802431+00:00;queued;;;2074139935297138972
2074266845742325895;WSartin31817;@Rusia_HD Yes;Rhome, TX;2026-07-06T22:58:48.000Z;2026-07-09T14:01:39.802431+00:00;queued;;;2074139935297138972
2074266983860764899;Kilua2308;@Rusia_HD Yes;;2026-07-06T22:59:21.000Z;2026-07-09T14:01:39.802431+00:00;queued;;;2074139935297138972
2074266993495060854;ArchVaz;@Rusia_HD Of Course yes;;2026-07-06T22:59:23.000Z;2026-07-09T14:01:39.802431+00:00;queued;;;2074139935297138972
2074267091578814788;valicarus20;@Rusia_HD Si toda la vida;;2026-07-06T22:59:47.000Z;2026-07-09T14:01:39.802431+00:00;queued;;;2074139935297138972
2074267127889195200;carlosepasc;@Rusia_HD Si;;2026-07-06T22:59:55.000Z;2026-07-09T14:01:39.802431+00:00;queued;;;2074139935297138972
2074267162559095075;PatrickFriedri8;@Rusia_HD Yes 🌹;;2026-07-06T23:00:04.000Z;2026-07-09T14:01:39.802431+00:00;queued;;;2074139935297138972
2074267340573704305;EmmanuelDonova3;@Rusia_HD Yes;Living in reality.;2026-07-06T23:00:46.000Z;2026-07-09T14:01:39.802431+00:00;queued;;;2074139935297138972
2074267390490132512;JehanJan170773;@Rusia_HD Yes;;2026-07-06T23:00:58.000Z;2026-07-09T14:01:39.802431+00:00;queued;;;2074139935297138972
2074267470412599677;HungyAndy;@Rusia_HD YES;England, United Kingdom;2026-07-06T23:01:17.000Z;2026-07-09T14:01:39.802431+00:00;queued;;;2074139935297138972
2074267481485476124;colinas_j12511;@Rusia_HD Si claro;;2026-07-06T23:01:20.000Z;2026-07-09T14:01:39.802431+00:00;queued;;;2074139935297138972
2074267553925321076;nicht_sean;@Rusia_HD I mean I dont speak Russian nor am I able to read Cyrillic so im not sure honestly. But besides that, yeah.;;2026-07-06T23:01:37.000Z;2026-07-09T14:01:39.802431+00:00;queued;;;2074139935297138972
2074267605683032317;Mobby2103;@Rusia_HD Ja, warum nicht?;Deutschland;2026-07-06T23:01:49.000Z;2026-07-09T14:01:39.802431+00:00;queued;;;2074139935297138972
2074267722192502817;EnriquePar23644;@Rusia_HD Claro que sí.;;2026-07-06T23:02:17.000Z;2026-07-09T14:01:39.802431+00:00;queued;;;2074139935297138972
2074267757047156806;CitizenVigef2v;@Rusia_HD Yes;Florida, USA;2026-07-06T23:02:25.000Z;2026-07-09T14:01:39.802431+00:00;queued;;;2074139935297138972
2074267831940837678;AtsukoTeresa;@Rusia_HD Yes;大阪府大阪市西区江戸堀2丁目1-1 江戸堀センタ-ビルB1F;2026-07-06T23:02:43.000Z;2026-07-09T14:01:39.802431+00:00;queued;;;2074139935297138972
2074268092994138122;Thomas717361711;@Rusia_HD Yes;;2026-07-06T23:03:46.000Z;2026-07-09T14:01:39.802431+00:00;queued;;;2074139935297138972
2074268099377836141;SneakyPete_X;@Rusia_HD Yes;;2026-07-06T23:03:47.000Z;2026-07-09T14:01:39.802431+00:00;queued;;;2074139935297138972
2074268507110260804;Pilar582734991;@Rusia_HD Yes;Warsaw, Poland;2026-07-06T23:05:24.000Z;2026-07-09T14:01:39.802431+00:00;queued;;;2074139935297138972
